import time: self [us] | cumulative | imported package
import time:       630 |       2298 |           django.db.utils
import time:       296 |       2593 |         django.db
import time:       373 |        373 |         django.db.transaction
import time:      1493 |       1493 |                   numbers
import time:      1036 |       2528 |                 _decimal
import time:       220 |       2747 |               decimal
import time:       342 |        342 |                   django.apps.config
import time:       553 |        553 |                   django.apps.registry
import time:       249 |       1143 |                 django.apps
import time:       397 |        397 |                 termios
import time:        85 |         85 |                 pywatchman
import time:       723 |       2346 |               django.utils.autoreload
import time:       619 |       5712 |             django.utils.translation
import time:       867 |        867 |                   http
import time:      1568 |       1568 |                   http.cookies
import time:       275 |       2709 |                 django.http.cookie
import time:       209 |        209 |                           _json
import time:       393 |        602 |                         json.scanner
import time:       490 |       1091 |                       json.decoder
import time:       510 |        510 |                       json.encoder
import time:       242 |       1843 |                     json
import time:       106 |        106 |                     zlib
import time:      1072 |       1072 |                         _hashlib
import time:        74 |         74 |                         _blake2
import time:       313 |       1458 |                       hashlib
import time:       294 |        294 |                       hmac
import time:        51 |         51 |                             _bisect
import time:       302 |        352 |                           bisect
import time:        39 |         39 |                           _random
import time:        49 |         49 |                           _sha2
import time:       471 |        910 |                         random
import time:       172 |       1082 |                       secrets
import time:       493 |        493 |                       django.utils.encoding
import time:       239 |       3563 |                     django.utils.crypto
import time:       348 |       5859 |                   django.core.signing
import time:       196 |        196 |                       django.core.files.utils
import time:       327 |        522 |                     django.core.files.base
import time:       177 |        698 |                   django.core.files
import time:       274 |        274 |                               _compression
import time:       329 |        329 |                               _bz2
import time:       323 |        926 |                             bz2
import time:       347 |        347 |                               _lzma
import time:       299 |        645 |                             lzma
import time:      1387 |       2957 |                           shutil
import time:       729 |       3686 |                         tempfile
import time:       214 |       3900 |                       django.core.files.temp
import time:       326 |       4225 |                     django.core.files.uploadedfile
import time:       322 |       4546 |                   django.core.files.uploadhandler
import time:      1455 |       1455 |                       html.entities
import time:       455 |       1910 |                     html
import time:       548 |        548 |                     django.utils.datastructures
import time:        72 |         72 |                       unicodedata
import time:       171 |        171 |                         email
import time:      1066 |       1066 |                           calendar
import time:       565 |       1630 |                         email._parseaddr
import time:       154 |        154 |                           email.base64mime
import time:       412 |        412 |                           email.quoprimime
import time:       686 |        686 |                           email.errors
import time:       189 |        189 |                             quopri
import time:       174 |        363 |                           email.encoders
import time:       307 |       1919 |                         email.charset
import time:       602 |       4320 |                       email.utils
import time:       342 |       4733 |                     django.utils.http
import time:       466 |       7655 |                   django.http.multipartparser
import time:       722 |      19478 |                 django.http.request
import time:        88 |         88 |                     _winapi
import time:        66 |         66 |                     winreg
import time:       451 |        605 |                   mimetypes
import time:       696 |        696 |                   email.header
import time:       393 |        393 |                         email._policybase
import time:       616 |       1008 |                       email.feedparser
import time:       236 |       1244 |                     email.parser
import time:       402 |        402 |                       email._encoded_words
import time:       152 |        152 |                       email.iterators
import time:       647 |       1201 |                     email.message
import time:      1122 |       3565 |                   http.client
import time:       189 |        189 |                             django.db.models.utils
import time:       272 |        461 |                           django.db.models.signals
import time:       188 |        188 |                                   _wmi
