import time: self [us] | cumulative | imported package
import time:       764 |       1384 |             pkgutil
import time:       632 |        632 |             django.utils.connection
import time:       382 |        382 |             django.utils.module_loading
import time:       960 |       3358 |           django.db.utils
import time:       583 |       3940 |         django.db
import time:       690 |        690 |         django.db.transaction
import time:      2168 |       2168 |                   numbers
import time:      1370 |       3537 |                 _decimal
import time:       291 |       3828 |               decimal
import time:       458 |        458 |                   django.apps.config
import time:       689 |        689 |                   django.apps.registry
import time:       383 |       1529 |                 django.apps
import time:       551 |        551 |                 termios
import time:       223 |        223 |                 pywatchman
import time:      1194 |       3497 |               django.utils.autoreload
import time:      1080 |       8404 |             django.utils.translation
import time:      1672 |       1672 |                   http
import time:      2557 |       2557 |                   http.cookies
import time:       500 |       4727 |                 django.http.cookie
import time:       426 |        426 |                           _json
import time:       894 |       1319 |                         json.scanner
import time:      1017 |       2336 |                       json.decoder
import time:       949 |        949 |                       json.encoder
import time:       489 |       3773 |                     json
import time:       206 |        206 |                     zlib
import time:      2134 |       2134 |                         _hashlib
import time:       142 |        142 |                         _blake2
import time:       595 |       2870 |                       hashlib
import time:       529 |        529 |                       hmac
import time:       123 |        123 |                             _bisect
import time:       617 |        740 |                           bisect
import time:        75 |         75 |                           _random
import time:       100 |        100 |                           _sha2
import time:       854 |       1768 |                         random
import time:       363 |       2130 |                       secrets
import time:      1344 |       1344 |                       django.utils.encoding
import time:       478 |       7350 |                     django.utils.crypto
import time:      1171 |      12498 |                   django.core.signing
import time:       502 |        502 |                       django.core.files.utils
import time:       593 |       1095 |                     django.core.files.base
import time:       338 |       1432 |                   django.core.files
import time:       802 |        802 |                               _compression
import time:       633 |        633 |                               _bz2
import time:       874 |       2308 |                             bz2
import time:       654 |        654 |                               _lzma
import time:       631 |       1285 |                             lzma
import time:      2858 |       6450 |                           shutil
import time:      1392 |       7842 |                         tempfile
import time:       291 |       8132 |                       django.core.files.temp
import time:       613 |       8745 |                     django.core.files.uploadedfile
import time:       833 |       9577 |                   django.core.files.uploadhandler
import time:      2463 |       2463 |                       html.entities
import time:       907 |       3369 |                     html
import time:       728 |        728 |                     django.utils.datastructures
import time:       132 |        132 |                       unicodedata
import time:       401 |        401 |                         email
import time:      1677 |       1677 |                           calendar
import time:       767 |       2443 |                         email._parseaddr
import time:       264 |        264 |                           email.base64mime
import time:       819 |        819 |                           email.quoprimime
import time:      1342 |       1342 |                           email.errors
import time:       348 |        348 |                             quopri
import time:       352 |        700 |                           email.encoders
import time:       604 |       3727 |                         email.charset
import time:      1210 |       7779 |                       email.utils
import time:       535 |       8446 |                     django.utils.http
import time:      1211 |      13753 |                   django.http.multipartparser
import time:      1473 |      38731 |                 django.http.request
import time:       158 |        158 |                     _winapi
import time:       138 |        138 |                     winreg
import time:       850 |       1145 |                   mimetypes
import time:      1832 |       1832 |                   email.header
import time:      1076 |       1076 |                         email._policybase
import time:      1759 |       2835 |                       email.feedparser
import time:       674 |       3508 |                     email.parser
import time:       717 |        717 |                       email._encoded_words
import time:       286 |        286 |                       email.iterators
import time:      1244 |       2246 |                     email.message
import time:      2460 |       8213 |                   http.client
import time:       327 |        327 |                             django.db.models.utils
import time:       495 |        822 |                           django.db.models.signals
import time:       475 |        475 |                                   _wmi
import time:      1610 |       2085 |                                 platform
import time:       230 |        230 |                                 _uuid
import time:      1309 |       3623 |                               uuid
import time:      1497 |       1497 |                                                   django.template.context
import time:       589 |        589 |                                                       django.utils.dates
import time:       883 |        883 |                                                             sysconfig
import time:      1774 |       1774 |                                                             _sysconfigdata__x86_64-linux-gnu
import time:      1608 |       4264 |                                                           zoneinfo._tzpath
import time:       512 |        512 |                                                           zoneinfo._common
import time:       470 |        470 |                                                           _zoneinfo
import time:       467 |       5712 |                                                         zoneinfo
import time:       721 |       6433 |                                                       django.utils.timezone
import time:       966 |       7987 |                                                     django.utils.dateformat
import time:       589 |        589 |                                                       django.utils.safestring
import time:       351 |        940 |                                                     django.utils.numberformat
import time:      1174 |      10099 |                                                   django.utils.formats
import time:      1311 |       1311 |                                                       _markupbase
import time:      4039 |       5349 |                                                     html.parser
import time:      1376 |       1376 |                                                       gzip
import time:      3114 |       4490 |                                                     django.utils.text
import time:      2421 |      12258 |                                                   django.utils.html
import time:       472 |        472 |                                                   django.template.exceptions
import time:      2159 |      26484 |                                                 django.template.base
import time:       824 |        824 |                                                 django.template.library
import time:       686 |      27993 |                                               django.template.engine
import time:       434 |        434 |                                               django.template.utils
import time:       221 |        221 |                                                   django.template.backends
import time:       484 |        484 |                                                     django.core.checks.messages
import time:       392 |        392 |                                                     django.core.checks.registry
import time:       430 |        430 |                                                     django.core.checks.async_checks
import time:       305 |        305 |                                                           django.core.cache.backends
import time:       734 |       1038 |                                                         django.core.cache.backends.base
import time:       392 |       1430 |                                                       django.core.cache
import time:       680 |        680 |                                                         glob
import time:       787 |        787 |                                                           _compat_pickle
import time:      1612 |       1612 |                                                           _pickle
import time:      2564 |       4961 |                                                         pickle
import time:       406 |        406 |                                                         django.core.files.locks
import time:       325 |        325 |                                                         django.core.files.move
import time:       816 |       7187 |                                                       django.core.cache.backends.filebased
import time:       713 |       9329 |                                                     django.core.checks.caches
import time:       354 |        354 |                                                       django.core.checks.compatibility
import time:       593 |        946 |                                                     django.core.checks.compatibility.django_4_0
import time:       438 |        438 |                                                     django.core.checks.database
import time:       430 |        430 |                                                     django.core.checks.files
import time:       628 |        628 |                                                     django.core.checks.model_checks
import time:       257 |        257 |                                                       django.core.checks.security
import time:       990 |       1247 |                                                     django.core.checks.security.base
import time:       402 |        402 |                                                     django.core.checks.security.csrf
import time:       433 |        433 |                                                     django.core.checks.security.sessions
import time:       312 |        312 |                                                     django.core.checks.templates
import time:      1574 |       1574 |                                                         gettext
import time:       589 |        589 |                                                         django.conf.locale
import time:      1376 |       3538 |                                                       django.utils.translation.trans_real
import time:       656 |       4194 |                                                     django.core.checks.translation
import time:       894 |        894 |                                                     django.core.checks.urls
import time:       732 |      21282 |                                                   django.core.checks
import time:       418 |        418 |                                                     django.utils._os
import time:       491 |        909 |                                                   django.template.backends.base
import time:       703 |      23113 |                                                 django.template.backends.django
import time:       489 |      23601 |                                               django.template.autoreload
import time:       435 |      52461 |                                             django.template
import time:        48 |      52509 |                                           django.template.backends
import time:        53 |      52561 |                                         django.template.backends.django
import time:       439 |        439 |                                         django.template.loader
import time:       799 |      53799 |                                       django.forms.renderers
import time:      1478 |      55277 |                                     django.forms.utils
import time:       569 |        569 |                                       graphlib
import time:       335 |        335 |                                         django.templatetags
import time:       586 |        921 |                                       django.templatetags.static
import time:       585 |        585 |                                       django.utils.choices
import time:      3051 |       5123 |                                     django.forms.widgets
import time:       903 |      61302 |                                   django.forms.boundfield
import time:       449 |        449 |                                       django.utils.deconstruct
import time:       310 |        310 |                                       django.utils.ipv6
import time:      2350 |       3107 |                                     django.core.validators
import time:       411 |        411 |                                     django.utils.dateparse
import time:       335 |        335 |                                     django.utils.duration
import time:      2612 |       6464 |                                   django.forms.fields
import time:       821 |        821 |                                   django.forms.forms
import time:      1853 |       1853 |                                   django.forms.formsets
import time:      2030 |       2030 |                                   django.forms.models
import time:       752 |      73220 |                                 django.forms
import time:       942 |        942 |                                 django.db.models.constants
import time:       446 |        446 |                                   django.utils.tree
import time:      1107 |       1553 |                                 django.db.models.query_utils
import time:      4333 |      80046 |                               django.db.models.fields
import time:      1007 |       1007 |                               django.db.models.enums
import time:      5921 |      90595 |                             django.db.models.expressions
import time:       241 |        241 |                                           django.db.backends
import time:       341 |        582 |                                         django.db.backends.base
import time:       582 |        582 |                                             sqlparse.tokens
import time:       984 |        984 |                                             sqlparse.utils
import time:      2052 |       3617 |                                           sqlparse.sql
import time:      2263 |       2263 |                                             argparse
import time:       418 |        418 |                                             sqlparse.exceptions
import time:       522 |       3202 |                                           sqlparse.cli
import time:       706 |        706 |                                             sqlparse.engine.grouping
import time:      1232 |       1232 |                                                 sqlparse.keywords
import time:       367 |       1598 |                                               sqlparse.lexer
import time:       321 |        321 |                                               sqlparse.engine.statement_splitter
import time:       570 |        570 |                                                 sqlparse.filters.others
import time:       371 |        371 |                                                 sqlparse.filters.output
import time:       351 |        351 |                                                 sqlparse.filters.tokens
import time:       452 |        452 |                                                 sqlparse.filters.reindent
