import time: self [us] | cumulative | imported package
import time:       940 |        940 |     django.db.backends.postgresql.operations
import time:       865 |        865 |         django.db.backends.ddl_references
import time:      2047 |       2911 |       django.db.backends.base.schema
import time:       750 |       3661 |     django.db.backends.postgresql.schema
import time:      4825 |     322399 |   django.contrib.auth.base_user
import time:       618 |        618 |   django.contrib.auth.validators
import time:       407 |        407 |   django.utils.translation.reloader
import time:      1015 |       1015 |   django.contrib.sessions.base_session
import time:      5451 |       5451 |   accounts.models
import time:       874 |        874 |     django.contrib.auth.tokens
import time:       381 |        381 |       django.contrib.sites
import time:       389 |        389 |       django.contrib.sites.requests
import time:       589 |       1358 |     django.contrib.sites.shortcuts
import time:      5831 |       8061 |   django.contrib.auth.forms
import time:      1294 |       1294 |   django.contrib.contenttypes.fields
import time:       502 |        502 |   django.contrib.contenttypes.forms
import time:       476 |        476 |   shipment.signals
import time:       647 |        647 |   django.contrib.auth.backends
import time:      2154 |       2154 |   django.contrib.auth.views
import time:       288 |        288 |     django.contrib.sessions.backends
import time:       927 |       1215 |   django.contrib.sessions.backends.base
import time:       364 |        364 |   django.contrib.sessions.exceptions
import time:       243 |        243 |       wsgiref
import time:       520 |        762 |     wsgiref.headers
import time:       386 |        386 |     wsgiref.util
import time:       371 |        371 |     whitenoise.media_types
import time:       852 |        852 |     whitenoise.responders
import time:       281 |        281 |     whitenoise.string_utils
import time:       751 |       3400 |   whitenoise.base
import time:       699 |        699 |   django.contrib.staticfiles.storage
import time:     82198 |    1013211 | Inventory_Management_System.wsgi
import time:       160 |        160 | gc
